,LesionWise_Dice_ET,LesionWise_Dice_TC,LesionWise_Dice_WT,LesionWise_NSD_0.5_ET,LesionWise_NSD_0.5_TC,LesionWise_NSD_0.5_WT,LesionWise_NSD_1.0_ET,LesionWise_NSD_1.0_TC,LesionWise_NSD_1.0_WT,LesionWise_Hausdorff95_ET,LesionWise_Hausdorff95_TC,LesionWise_Hausdorff95_WT,Num_TP_ET,Num_TP_TC,Num_TP_WT,Num_FP_ET,Num_FP_TC,Num_FP_WT,Num_FN_ET,Num_FN_TC,Num_FN_WT
BraTS-SSA-00140-000,0.9337022453974673,0.9443725001639237,0.9378990529815097,0.5467158791799784,0.5151212707612488,0.43377649685272107,0.853551846169089,0.8261659869516356,0.7546200240577929,3.7416573867739413,4.242640687119285,5.0990195135927845,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-SSA-00143-000,0.3159053338458598,0.31650609334873153,0.4844642386274402,0.2167561743579671,0.170346890933378,0.3257117615653795,0.32166939987221804,0.29903289092644364,0.462163812651691,249.66666666666666,249.91068360252294,188.1180339887499,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0
BraTS-SSA-00148-000,0.9548712721533554,0.9685462930202156,0.9649133015244967,0.7717328640206065,0.6876035285330089,0.6217883711017641,0.9760084833279542,0.939803660762232,0.9166304764444775,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-SSA-00154-000,0.9264796737921661,0.9802267891172336,0.958246416464271,0.6672277454238313,0.7247698443619814,0.558836731730706,0.9355859448751647,0.9585655635135172,0.849708733534726,1.4142135623730951,1.0,3.1622776601683795,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-SSA-00155-000,0.86198738170347,0.9411792962651615,0.9789089434191848,0.5305346682914803,0.5697459200273828,0.728793512949975,0.8824611459165709,0.8789479436958332,0.9641485127199259,2.23606797749979,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-SSA-00157-000,0.9312301154693305,0.8617908704988274,0.8524703987945311,0.5046225958859861,0.4030565555090761,0.293580399344393,0.8558013772768359,0.706191538214058,0.5666121119467867,5.385164807134504,8.0,12.083045973594572,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-SSA-00158-000,0.8477834811012599,0.8526759744037231,0.8799891760248951,0.6387173486405807,0.5779638089501193,0.48003704601379654,0.8721621459216007,0.7987285060741761,0.7451877175938956,4.123105625617661,4.242640687119285,6.324555320336759,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-SSA-00163-000,0.9398811230887752,0.9654196317957878,0.9592136057144391,0.6952202501843215,0.560771619654575,0.5318262798798189,0.9602247235129983,0.897122350482091,0.8640916061873425,1.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-SSA-00169-000,0.9643751600639924,0.970644575159373,0.9756679457297275,0.6554089450081215,0.5970989119576742,0.6173865083700045,0.906433974129062,0.8782100834574017,0.8953119749375101,2.0,2.23606797749979,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-SSA-00171-000,0.9637988128709778,0.9677619564828187,0.9321072727683514,0.6772205063893149,0.6478734540601505,0.4572273788730393,0.9744367274462836,0.949191051717341,0.7978691185758875,1.0,1.4142135623730951,5.0990195135927845,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-SSA-00174-000,0.979847843299253,0.9880737738813994,0.9868707687855168,0.8309558114318079,0.7992475284870313,0.7444215514133499,0.9922656702045441,0.9856410340048458,0.9783963818817097,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-SSA-00175-000,0.942275406075764,0.9690522495051392,0.9774183840459575,0.7138505069176838,0.6186141113202327,0.6831978892741021,0.9535762823412883,0.8939122570582598,0.9161957810120601,1.0,2.449489742783178,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-SSA-00179-000,0.871088172770827,0.9503321182002953,0.968300136425648,0.5596686064675657,0.43920640652012305,0.5852844389821046,0.8881128555582487,0.8095576933784318,0.8649721254099425,2.0,2.23606797749979,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-SSA-00180-000,0.8943469528857867,0.87067083873922,0.9125803746155997,0.41566564214468993,0.3352103915571326,0.40476814892084273,0.7644917119712025,0.6321463708669836,0.7574134608353318,4.242640687119285,5.0990195135927845,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-SSA-00188-000,0.9452284811897813,0.9564220979895135,0.9727724597707931,0.7188655183602023,0.6389065293190034,0.6845142287725634,0.9727579957058979,0.9483915771860438,0.9441050216653564,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-SSA-00192-000,0.9318768241614145,0.9468107354478913,0.9543171962171921,0.6864295992768235,0.6112122532769096,0.5392512839335382,0.9080805098531497,0.8522809354676254,0.8630193120327838,1.7320508075688772,2.449489742783178,4.123105625617661,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-SSA-00198-000,0.9736594704545066,0.969191676621388,0.9846033048283915,0.8428190399432112,0.7100775767492516,0.7550665928134971,0.9896398156684103,0.9007595211540687,0.9607205505892632,1.0,1.7320508075688772,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
