,MSE,PSNR,SSIM
BraTS-GLI-00474-001,0.0060617076233029366,22.174049377441406,0.8459985852241516
BraTS-GLI-00489-000,0.012491961941123009,19.033693313598633,0.8181380033493042
BraTS-GLI-00492-000,0.010463994927704334,19.803024291992188,0.8259709477424622
BraTS-GLI-00503-000,0.013958540745079517,18.551599502563477,0.7268354892730713
BraTS-GLI-00503-001,0.007304599042981863,21.36403465270996,0.7602900862693787
BraTS-GLI-00521-000,0.011545686982572079,19.37580108642578,0.8915325999259949
BraTS-GLI-00521-001,0.000941612059250474,30.26127815246582,0.946551501750946
BraTS-GLI-00535-000,0.006647842470556498,21.773191452026367,0.9597760438919067
BraTS-GLI-00535-001,0.015139073133468628,18.199007034301758,0.7457438111305237
BraTS-GLI-00553-000,0.009552644565701485,20.198762893676758,0.7541000843048096
BraTS-GLI-00553-001,0.011097846552729607,19.547611236572266,0.6905752420425415
BraTS-GLI-00560-000,0.019619660452008247,17.073083877563477,0.6768583059310913
BraTS-GLI-00560-001,0.006414171773940325,21.928592681884766,0.8152329325675964
BraTS-GLI-00573-000,0.0007746018236503005,31.10921287536621,0.996584951877594
BraTS-GLI-00585-000,0.003399466397240758,24.68589210510254,0.876335620880127
BraTS-GLI-00592-000,0.01087203063070774,19.636892318725586,0.7385543584823608
BraTS-GLI-00595-000,0.013484877534210682,18.701528549194336,0.7115084528923035
BraTS-GLI-00603-000,0.02092631161212921,16.793071746826172,0.6121212244033813
BraTS-GLI-00644-000,0.009856740944087505,20.062665939331055,0.8111665844917297
BraTS-GLI-00647-000,0.011854980140924454,19.260990142822266,0.8532110452651978
BraTS-GLI-00647-001,0.006942847277969122,21.58462142944336,0.911309540271759
BraTS-GLI-00662-000,0.012284206226468086,19.10652732849121,0.7492064833641052
BraTS-GLI-00671-000,0.020517785102128983,16.878694534301758,0.6933450102806091
BraTS-GLI-00681-000,0.002430668333545327,26.142742156982422,0.9485573768615723
BraTS-GLI-00699-000,0.009245570749044418,20.340662002563477,0.6609680652618408
BraTS-GLI-00699-001,0.0045905583538115025,23.381343841552734,0.8267937898635864
BraTS-GLI-00702-000,0.01698031835258007,17.70054054260254,0.7007847428321838
BraTS-GLI-00702-001,0.0019413342233747244,27.118995666503906,0.8436377048492432
BraTS-GLI-00712-000,0.013586276210844517,18.668994903564453,0.7181071639060974
BraTS-GLI-00712-001,0.007679378148168325,21.146739959716797,0.8246332406997681
BraTS-GLI-00719-000,0.005344173405319452,22.721195220947266,0.9665178060531616
BraTS-GLI-00719-001,0.0031659866217523813,24.99490737915039,0.8033390045166016
BraTS-GLI-00721-000,0.01620699279010296,17.90297508239746,0.6672428846359253
BraTS-GLI-00721-001,0.003373698564246297,24.718936920166016,0.9221729040145874
BraTS-GLI-00749-000,0.008332490921020508,20.792251586914062,0.7956270575523376
BraTS-GLI-00762-000,0.013010217808187008,18.857152938842773,0.7532592415809631
BraTS-GLI-00762-001,0.01052914746105671,19.77606773376465,0.7609620690345764
BraTS-GLI-00769-000,0.002711259061470628,25.668289184570312,0.9934319257736206
BraTS-GLI-00779-000,0.016297748312354088,17.87872314453125,0.763787031173706
BraTS-GLI-00779-001,0.004996964707970619,23.012935638427734,0.9828941226005554
BraTS-GLI-00821-000,0.004495659377425909,23.472064971923828,0.809636116027832
BraTS-GLI-00822-000,0.010704330168664455,19.704404830932617,0.8530248403549194
BraTS-GLI-00825-000,0.0034290440380573273,24.64826774597168,0.8829882740974426
BraTS-GLI-00826-000,0.0037582069635391235,24.25019073486328,0.9501651525497437
BraTS-GLI-00829-000,0.004346045665442944,23.619056701660156,0.8297528028488159
BraTS-GLI-00833-000,0.010705949738621712,19.70374870300293,0.8471720814704895
BraTS-GLI-00997-000,0.014329811558127403,18.43759536743164,0.739427924156189
BraTS-GLI-01006-000,0.014672988094389439,18.33481216430664,0.665719747543335
BraTS-GLI-01667-000,0.0005125010502524674,32.90304946899414,0.9795041084289551
BraTS-GLI-01668-000,0.0021593638230115175,26.656742095947266,0.8843233585357666
BraTS-GLI-01669-000,0.0025721092242747545,25.897104263305664,0.8709349632263184
BraTS-GLI-01670-000,0.005144713446497917,22.88638687133789,0.8394951224327087
BraTS-GLI-01671-000,0.015169269405305386,18.190353393554688,0.814845085144043
BraTS-GLI-01672-000,0.003086837474256754,25.104860305786133,0.8726823925971985
BraTS-GLI-01673-000,0.003548172302544117,24.49995231628418,0.9128965139389038
BraTS-GLI-01674-000,0.00283102598041296,25.480560302734375,0.9198299646377563
BraTS-GLI-01675-000,0.005496541503816843,22.599103927612305,0.8776051998138428
BraTS-GLI-01676-000,0.004593771416693926,23.37830352783203,0.8184083104133606
BraTS-GLI-01677-000,0.002690637484192848,25.701448440551758,0.9056792259216309
BraTS-GLI-01678-000,0.007255640346556902,21.39324188232422,0.8866896629333496
BraTS-GLI-01679-000,0.00865269172936678,20.62848663330078,0.8460322022438049
BraTS-GLI-01680-000,0.007172877434641123,21.443065643310547,0.8855646252632141
BraTS-GLI-01681-000,0.006103049963712692,22.144529342651367,0.9122528433799744
BraTS-GLI-01682-000,0.006782563403248787,21.686059951782227,0.9034249186515808
BraTS-GLI-01683-000,0.00687221297994256,21.629032135009766,0.7901479005813599
BraTS-GLI-01684-000,0.014748763293027878,18.312442779541016,0.7022214531898499
BraTS-GLI-01685-000,0.014647871255874634,18.342254638671875,0.7362761497497559
BraTS-GLI-01686-000,0.012288129888474941,19.10514259338379,0.7551019787788391
BraTS-GLI-01687-000,0.01008139830082655,19.96479034423828,0.6875377297401428
BraTS-GLI-01688-000,0.009364073164761066,20.28535270690918,0.7388709783554077
BraTS-GLI-01689-000,0.005974242929369211,22.237171173095703,0.9741905927658081
BraTS-GLI-01690-000,0.003347278805449605,24.75307846069336,0.9342800378799438
BraTS-GLI-01691-000,0.0025210015010088682,25.984268188476562,0.9915810823440552
BraTS-GLI-01692-000,0.005713329650461674,22.431106567382812,0.6994867920875549
BraTS-GLI-01693-000,0.00548116909340024,22.611268997192383,0.8524709343910217
BraTS-GLI-01694-000,0.017482930794358253,17.573856353759766,0.7225260138511658
BraTS-GLI-01695-000,0.00816357508301735,20.881195068359375,0.8999043107032776
BraTS-GLI-01696-000,0.004891522228717804,23.105560302734375,0.9227014780044556
BraTS-GLI-01697-000,0.002552372170612216,25.930559158325195,0.9038587808609009
BraTS-GLI-01698-000,0.007731469348073006,21.11737823486328,0.7906145453453064
BraTS-GLI-01699-000,0.0037628673017024994,24.244810104370117,0.9289141297340393
BraTS-GLI-01700-000,0.00124321598559618,29.054533004760742,0.9799705147743225
BraTS-GLI-01701-000,0.007420592941343784,21.295612335205078,0.962749719619751
BraTS-GLI-01702-000,0.0032918881624937057,24.82554817199707,0.9733408093452454
BraTS-GLI-01703-000,0.004283160902559757,23.682353973388672,0.7853477597236633
BraTS-GLI-01704-000,0.0027122015599161386,25.666778564453125,0.8509464859962463
BraTS-GLI-01705-000,0.010689139366149902,19.7105712890625,0.8878827691078186
BraTS-GLI-01706-000,0.02123999036848545,16.728456497192383,0.6400519609451294
BraTS-GLI-01707-000,0.003553553484380245,24.493370056152344,0.8246562480926514
BraTS-GLI-01708-000,0.0037068966776132584,24.309894561767578,0.8052049875259399
BraTS-GLI-01709-000,0.004791356157511473,23.195415496826172,0.875738263130188
BraTS-GLI-01710-000,0.010235587134957314,19.89887237548828,0.7939093112945557
BraTS-GLI-01711-000,0.0011563666630536318,29.369041442871094,0.9976524114608765
BraTS-GLI-01712-000,0.010862895287573338,19.64054298400879,0.7456679344177246
BraTS-GLI-01713-000,0.006778145674616098,21.68889045715332,0.764677107334137
BraTS-GLI-01714-000,0.0052744802087545395,22.778202056884766,0.7680534720420837
BraTS-GLI-01715-000,0.00536380847916007,22.70526695251465,0.8842917084693909
BraTS-GLI-01716-000,0.008546502329409122,20.68211555480957,0.849392294883728
BraTS-GLI-01717-000,0.00042087386827915907,33.75847625732422,0.9983845353126526
BraTS-GLI-01718-000,0.00047003457439132035,33.27870178222656,0.9982441663742065
