,MSE,PSNR,SSIM
BraTS-GLI-00213-000,0.0052900053560733795,22.765438079833984,0.7083120346069336
BraTS-GLI-00229-000,0.002861807821318507,25.43359375,0.9948006868362427
BraTS-GLI-00252-000,0.0040708486922085285,23.90315055847168,0.846808671951294
BraTS-GLI-00256-000,0.008020470850169659,20.95800018310547,0.7539007067680359
BraTS-GLI-00264-000,0.0014133502263575792,28.497501373291016,0.9883909225463867
BraTS-GLI-00287-000,0.010187768377363682,19.919208526611328,0.706118643283844
BraTS-GLI-00307-000,0.0010475231101736426,29.798362731933594,0.9345894455909729
BraTS-GLI-00323-000,0.001371885184198618,28.626821517944336,0.9875566363334656
BraTS-GLI-00333-000,0.007155217695981264,21.45376968383789,0.7824530005455017
BraTS-GLI-00335-000,0.006266467273235321,22.02977180480957,0.8217448592185974
BraTS-GLI-00337-000,0.008855883963406086,20.527679443359375,0.7352015972137451
BraTS-GLI-00355-000,0.0032413937151432037,24.892681121826172,0.9843701124191284
BraTS-GLI-00372-000,0.0029855899047106504,25.249696731567383,0.9000393152236938
BraTS-GLI-00381-000,0.0031768314074724913,24.980056762695312,0.9781847596168518
BraTS-GLI-00384-000,0.008175475522875786,20.874868392944336,0.7037173509597778
BraTS-GLI-00422-000,0.005419738125056028,22.660215377807617,0.7907527089118958
BraTS-GLI-00428-000,0.00397806940600276,24.00327491760254,0.8425489664077759
BraTS-GLI-00434-000,0.0017401037039235234,27.594247817993164,0.9484667778015137
BraTS-GLI-00438-000,0.008097238838672638,20.916629791259766,0.8019957542419434
BraTS-GLI-00447-000,0.011869587935507298,19.255643844604492,0.6309105157852173
BraTS-GLI-00450-000,0.005410364829003811,22.66773223876953,0.8876180052757263
BraTS-GLI-00458-000,0.007992569357156754,20.973134994506836,0.8757378458976746
BraTS-GLI-00460-000,0.004728394560515881,23.25286102294922,0.8069950342178345
BraTS-GLI-00462-000,0.0011177853448316455,29.516414642333984,0.9953517913818359
BraTS-GLI-00462-001,0.002471942687407136,26.06961441040039,0.9789851903915405
BraTS-GLI-00463-000,0.012967216782271862,18.871530532836914,0.760071873664856
BraTS-GLI-00467-000,0.020193591713905334,16.947864532470703,0.6963642239570618
BraTS-GLI-00467-001,0.006062866188585758,22.173219680786133,0.8184888362884521
BraTS-GLI-00474-000,0.0094639603048563,20.23927116394043,0.7934575080871582
BraTS-GLI-00474-001,0.0050645433366298676,22.95459747314453,0.8621441125869751
BraTS-GLI-00489-000,0.010768157429993153,19.678585052490234,0.8228588700294495
BraTS-GLI-00492-000,0.009190226905047894,20.366737365722656,0.8276671171188354
BraTS-GLI-00503-000,0.012289897538721561,19.104516983032227,0.7257717847824097
BraTS-GLI-00503-001,0.0058592031709849834,22.32161521911621,0.7808222770690918
BraTS-GLI-00521-000,0.008432994596660137,20.74018096923828,0.909748375415802
BraTS-GLI-00521-001,0.0005546173197217286,32.56006622314453,0.9510791897773743
BraTS-GLI-00535-000,0.004674975294619799,23.30220603942871,0.9693443775177002
BraTS-GLI-00535-001,0.012922040186822414,18.886688232421875,0.7642488479614258
BraTS-GLI-00553-000,0.007280611898750067,21.378318786621094,0.784881055355072
BraTS-GLI-00553-001,0.00995783694088459,20.018348693847656,0.7000843286514282
BraTS-GLI-00560-000,0.016178304329514503,17.910669326782227,0.6981342434883118
BraTS-GLI-00560-001,0.005333285313099623,22.730051040649414,0.8269112706184387
BraTS-GLI-00573-000,0.00038374788709916174,34.15953826904297,0.998234212398529
BraTS-GLI-00585-000,0.002743782475590706,25.61650276184082,0.8849343061447144
BraTS-GLI-00592-000,0.008238619193434715,20.841455459594727,0.7625534534454346
BraTS-GLI-00595-000,0.010801408439874649,19.665193557739258,0.7382845878601074
BraTS-GLI-00603-000,0.016184266656637192,17.909069061279297,0.6346659660339355
BraTS-GLI-00644-000,0.005978754721581936,22.2338924407959,0.8585188984870911
BraTS-GLI-00647-000,0.008721118792891502,20.594276428222656,0.885002076625824
BraTS-GLI-00647-001,0.004837444983422756,23.153837203979492,0.917503833770752
BraTS-GLI-00662-000,0.010435234755277634,19.814977645874023,0.7487077713012695
BraTS-GLI-00671-000,0.01819799467921257,17.399765014648438,0.6951002478599548
BraTS-GLI-00681-000,0.0018151196418330073,27.410945892333984,0.9530060887336731
BraTS-GLI-00699-000,0.011154708452522755,19.52541732788086,0.6218469738960266
BraTS-GLI-00699-001,0.0036300537176430225,24.400869369506836,0.8438808917999268
BraTS-GLI-00702-000,0.013957304880023003,18.551984786987305,0.7078477144241333
BraTS-GLI-00702-001,0.0014652012614533305,28.341026306152344,0.8656906485557556
BraTS-GLI-00712-000,0.011752878315746784,19.298555374145508,0.7411293387413025
BraTS-GLI-00712-001,0.0063407691195607185,21.978580474853516,0.8406875729560852
BraTS-GLI-00719-000,0.0038759279996156693,24.116241455078125,0.9720263481140137
BraTS-GLI-00719-001,0.003289972199127078,24.828075408935547,0.8000856041908264
BraTS-GLI-00721-000,0.012315262109041214,19.095561981201172,0.6919836401939392
BraTS-GLI-00721-001,0.002620329149067402,25.816438674926758,0.9297025799751282
BraTS-GLI-00749-000,0.005609575659036636,22.510698318481445,0.8316368460655212
BraTS-GLI-00762-000,0.009857728146016598,20.062231063842773,0.7682815194129944
BraTS-GLI-00762-001,0.008992636576294899,20.46112823486328,0.7692258358001709
BraTS-GLI-00769-000,0.001491838600486517,28.262779235839844,0.9961774945259094
BraTS-GLI-00779-000,0.010972422547638416,19.596973419189453,0.8058049082756042
BraTS-GLI-00779-001,0.0031947221141308546,24.955669403076172,0.9854536652565002
BraTS-GLI-00821-000,0.005019576288759708,22.993328094482422,0.7948811054229736
BraTS-GLI-00822-000,0.008491109125316143,20.710355758666992,0.8754183650016785
BraTS-GLI-00825-000,0.00240684999153018,26.185508728027344,0.8980775475502014
BraTS-GLI-00826-000,0.004205533303320408,23.76178741455078,0.9363637566566467
BraTS-GLI-00829-000,0.0031146230176091194,25.065942764282227,0.857725977897644
BraTS-GLI-00833-000,0.008524025790393353,20.69355010986328,0.8636199235916138
BraTS-GLI-00997-000,0.011651077307760715,19.336339950561523,0.7567688226699829
BraTS-GLI-01006-000,0.011769147589802742,19.29254913330078,0.6886430382728577
BraTS-GLI-01667-000,0.00038720748852938414,34.12055969238281,0.9831686019897461
BraTS-GLI-01668-000,0.0014863737160339952,28.278718948364258,0.8953240513801575
BraTS-GLI-01669-000,0.002216214081272483,26.543880462646484,0.8776000738143921
BraTS-GLI-01670-000,0.0031768525950610638,24.98002815246582,0.8544238805770874
BraTS-GLI-01671-000,0.011820582672953606,19.273611068725586,0.8406926393508911
BraTS-GLI-01672-000,0.0030128525104373693,25.21021842956543,0.864835798740387
BraTS-GLI-01673-000,0.0024905498139560223,26.037046432495117,0.9185237288475037
BraTS-GLI-01674-000,0.0019303654553368688,27.14360237121582,0.9196681380271912
BraTS-GLI-01675-000,0.00429664459079504,23.668703079223633,0.8917784094810486
BraTS-GLI-01676-000,0.0047193486243486404,23.26117706298828,0.799899160861969
BraTS-GLI-01677-000,0.002448583487421274,26.110849380493164,0.9144904017448425
BraTS-GLI-01678-000,0.005619417410343885,22.50308609008789,0.8927760720252991
BraTS-GLI-01679-000,0.005867909174412489,22.315166473388672,0.8644299507141113
BraTS-GLI-01680-000,0.005907550919800997,22.285924911499023,0.8967292308807373
BraTS-GLI-01681-000,0.004750450607389212,23.232650756835938,0.9221222400665283
BraTS-GLI-01682-000,0.0052429987117648125,22.804201126098633,0.9126023650169373
BraTS-GLI-01683-000,0.0053808861412107944,22.69146156311035,0.8126538991928101
BraTS-GLI-01684-000,0.011090494692325592,19.550491333007812,0.7365450263023376
BraTS-GLI-01685-000,0.012335637584328651,19.088382720947266,0.7436681389808655
BraTS-GLI-01686-000,0.009288446977734566,20.320566177368164,0.7792999744415283
BraTS-GLI-01687-000,0.00835497584193945,20.780546188354492,0.7037160396575928
BraTS-GLI-01688-000,0.007747103925794363,21.108604431152344,0.7601410150527954
BraTS-GLI-01689-000,0.004095677752047777,23.876741409301758,0.9807683229446411
BraTS-GLI-01690-000,0.0031266617588698864,25.049190521240234,0.9290958642959595
BraTS-GLI-01691-000,0.0016944718081504107,27.70965576171875,0.9930992126464844
BraTS-GLI-01692-000,0.004493944346904755,23.473722457885742,0.7237167358398438
BraTS-GLI-01693-000,0.0032667177729308605,24.858882904052734,0.8727226853370667
BraTS-GLI-01694-000,0.01728922128677368,17.62224578857422,0.7175570726394653
BraTS-GLI-01695-000,0.0065827746875584126,21.815908432006836,0.9125838875770569
BraTS-GLI-01696-000,0.003719255095347762,24.295440673828125,0.932392418384552
BraTS-GLI-01697-000,0.002167467027902603,26.640474319458008,0.90641850233078
BraTS-GLI-01698-000,0.00583832710981369,22.337114334106445,0.7931937575340271
BraTS-GLI-01699-000,0.002819725777953863,25.4979305267334,0.9370691180229187
BraTS-GLI-01700-000,0.0009134384454227984,30.393205642700195,0.981584370136261
BraTS-GLI-01701-000,0.003200879320502281,24.947307586669922,0.9808779358863831
BraTS-GLI-01702-000,0.0019360530423000455,27.13082504272461,0.9826546907424927
BraTS-GLI-01703-000,0.003906823229044676,24.08176040649414,0.7862083911895752
BraTS-GLI-01704-000,0.00240716733969748,26.1849365234375,0.8610740303993225
